2655.00,585.00,-74.68,35.00
2153.00,405.00,-78.66,32.00
2025.00,585.00,-73.93,64.00
3706.00,1169.00,-65.66,80.00
1305.00,648.00,-72.48,51.00
3690.00,2070.00,-70.72,76.00
945.00,401.00,-75.48,32.00
989.00,400.00,-74.61,33.00
1471.00,827.00,-73.21,48.00
3735.00,1035.00,-64.20,77.00
3156.00,628.00,-70.29,66.00
3705.00,1305.00,-60.08,64.00
3196.00,885.00,-63.39,59.00
2616.00,450.00,-73.23,51.00
1935.00,900.00,-74.68,38.00
3194.00,627.00,-73.86,78.00
2835.00,939.00,-73.93,80.00
2114.00,363.00,-79.44,48.00
2658.00,820.00,-74.28,36.00
3555.00,2205.00,-67.42,42.00
